longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,predicted_house_value,abs_error,pct_error
-118.39,34.12,29.0,6447.0,1012.0,2184.0,960.0,8.2816,500001.0,<1H OCEAN,483020.6,16980.400000000023,3.3960732078535885
-120.42,34.89,24.0,2020.0,307.0,855.0,283.0,5.0099,162500.0,<1H OCEAN,221708.09,59208.09,36.43574769230769
-118.45,34.25,36.0,1453.0,270.0,808.0,275.0,4.3839,204600.0,<1H OCEAN,205706.0,1106.0,0.5405669599217986
-118.1,33.91,35.0,1653.0,325.0,1072.0,301.0,3.2708,159700.0,<1H OCEAN,170623.0,10923.0,6.839699436443331
-117.07,32.77,38.0,3779.0,614.0,1495.0,614.0,4.3529,184000.0,NEAR OCEAN,212497.0,28497.0,15.4875
-118.04,33.93,35.0,1805.0,387.0,1505.0,366.0,4.1667,151900.0,<1H OCEAN,164798.0,12898.0,8.491112574061884
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,NEAR BAY,114046.0,9146.0,8.718779790276454
-122.26,37.46,26.0,5067.0,750.0,1996.0,728.0,7.0001,500001.0,NEAR OCEAN,434144.28,65856.71999999997,13.171317657364678
-122.03,37.36,16.0,2697.0,803.0,1369.0,723.0,4.4699,367400.0,<1H OCEAN,280961.03,86438.96999999997,23.527210125204128
-117.61,33.43,24.0,2303.0,399.0,851.0,379.0,3.9875,346500.0,NEAR OCEAN,258439.07,88060.93,25.41440981240981
-118.32,34.06,36.0,3239.0,722.0,1383.0,612.0,4.5918,337000.0,<1H OCEAN,408649.28,71649.28000000003,21.260913946587547
-121.23,37.96,44.0,2204.0,473.0,1277.0,435.0,1.5539,59200.0,INLAND,69340.0,10140.0,17.12837837837838
-121.2,37.81,26.0,395.0,74.0,193.0,72.0,7.3718,212500.0,INLAND,270996.0,58496.0,27.527529411764707
-121.91,37.24,24.0,5046.0,1001.0,2449.0,968.0,4.7118,274600.0,<1H OCEAN,266551.0,8049.0,2.9311726147123087
-118.48,34.28,35.0,2132.0,368.0,1128.0,341.0,5.3107,227100.0,<1H OCEAN,235190.0,8090.0,3.5623073535887277
-117.65,34.1,44.0,1526.0,337.0,831.0,326.0,3.0284,115800.0,INLAND,124375.0,8575.0,7.405008635578583
-121.59,39.82,12.0,1958.0,369.0,875.0,354.0,2.3507,97600.0,INLAND,92847.0,4753.0,4.869877049180328
-118.97,35.41,36.0,1896.0,315.0,937.0,303.0,3.996,85500.0,INLAND,96797.0,11297.0,13.212865497076024
-118.06,33.88,17.0,7187.0,1073.0,3844.0,1068.0,6.5901,337400.0,<1H OCEAN,338403.03,1003.0300000000279,0.29728215767635685
-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,366200.0,<1H OCEAN,374039.09,7839.090000000026,2.140658110322235
-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,219700.0,<1H OCEAN,197371.0,22329.0,10.163404642694584
-118.32,33.79,35.0,2924.0,658.0,1675.0,602.0,3.8287,279900.0,<1H OCEAN,296512.0,16612.0,5.934976777420507
-120.27,34.72,14.0,1289.0,277.0,693.0,237.0,3.2569,230800.0,<1H OCEAN,204461.0,26339.0,11.41204506065858
-119.65,36.33,52.0,1257.0,257.0,624.0,243.0,2.3523,59100.0,INLAND,64569.0,5469.0,9.253807106598986
-119.86,36.82,12.0,1488.0,253.0,675.0,223.0,4.7622,89300.0,INLAND,112824.0,23524.0,26.34266517357223
-119.23,35.78,8.0,1612.0,343.0,1230.0,330.0,2.1806,67200.0,INLAND,69609.0,2409.0,3.584821428571429
-118.35,34.16,45.0,1390.0,281.0,538.0,270.0,4.2212,293800.0,<1H OCEAN,312614.03,18814.030000000028,6.403686181075571
-120.94,37.68,4.0,13315.0,2424.0,6420.0,2289.0,4.2471,162100.0,INLAND,170627.0,8527.0,5.260333127698951
-118.99,35.24,40.0,282.0,59.0,213.0,71.0,2.35,91700.0,INLAND,78535.0,13165.0,14.356597600872409
-121.11,37.47,12.0,2263.0,410.0,913.0,330.0,3.5795,145600.0,INLAND,137369.0,8231.0,5.653159340659341
-118.02,34.08,28.0,2769.0,631.0,2452.0,581.0,2.6071,175900.0,INLAND,172992.0,2908.0,1.6532120523024445
-120.17,39.33,10.0,614.0,141.0,195.0,95.0,0.9283,116300.0,INLAND,102704.0,13596.0,11.690455717970766
-118.35,34.02,34.0,3978.0,1073.0,2725.0,1035.0,1.7622,167900.0,<1H OCEAN,143769.0,24131.0,14.372245384157237
-123.34,39.5,15.0,2342.0,535.0,1064.0,433.0,1.8967,96600.0,INLAND,87371.0,9229.0,9.553830227743271
-122.24,40.18,39.0,2191.0,493.0,1307.0,499.0,1.6483,60800.0,INLAND,60508.0,292.0,0.48026315789473684
-122.03,37.36,28.0,2490.0,345.0,948.0,361.0,6.4913,411900.0,<1H OCEAN,369103.04,42796.96000000002,10.390133527555237
-117.09,32.58,12.0,2565.0,567.0,1785.0,545.0,3.0273,135300.0,NEAR OCEAN,131954.0,3346.0,2.4730229120473024
-118.33,34.18,45.0,1552.0,315.0,785.0,316.0,3.7411,235500.0,<1H OCEAN,230648.01,4851.989999999991,2.0602929936305694
-121.44,38.53,37.0,1951.0,432.0,1089.0,411.0,2.3272,80600.0,INLAND,90272.0,9672.0,12.0
-119.7,34.43,35.0,1402.0,369.0,654.0,385.0,2.6205,318800.0,<1H OCEAN,321848.1,3048.0999999999767,0.9561166875784118
-117.15,34.22,10.0,1039.0,174.0,317.0,109.0,7.2371,171900.0,INLAND,243299.0,71399.0,41.53519488074462
-118.37,33.87,18.0,2516.0,485.0,1128.0,433.0,5.0114,338600.0,<1H OCEAN,332238.0,6362.0,1.8789131718842291
-118.01,33.85,29.0,3061.0,612.0,2396.0,640.0,4.6326,195200.0,<1H OCEAN,201521.0,6321.0,3.238217213114754
-122.32,37.94,47.0,1911.0,283.0,697.0,275.0,6.2712,267700.0,NEAR BAY,343277.07,75577.07,28.23200224131491
-117.96,33.94,34.0,2228.0,399.0,1159.0,378.0,4.8906,228900.0,<1H OCEAN,209523.0,19377.0,8.465268676277852
-117.96,34.14,33.0,1994.0,405.0,993.0,403.0,3.766,163900.0,INLAND,169949.0,6049.0,3.690665039658328
-117.55,34.0,17.0,3583.0,700.0,1587.0,719.0,2.6979,75000.0,INLAND,114519.0,39519.0,52.69200000000001
-122.28,37.86,41.0,2214.0,550.0,1213.0,568.0,2.2845,153100.0,NEAR BAY,162601.0,9501.0,6.205747877204441
-117.43,34.07,18.0,2453.0,537.0,1503.0,500.0,2.3768,95300.0,INLAND,110847.0,15547.0,16.313746065057714
-117.21,33.34,10.0,5294.0,817.0,2312.0,810.0,5.4563,325700.0,<1H OCEAN,315238.04,10461.960000000021,3.212146146760829
